PASS riverRocks/kelp+seaFan: 516 contacts, 5.61m route, peak -1.14
PASS riverRocks/pearlShell+pearlShell: 502 contacts, 5.50m route, peak -1.14
PASS riverRocks/pearlShell+seaFan: 544 contacts, 5.94m route, peak -1.14
PASS riverRocks/seaFan+seaFan: 516 contacts, 5.61m route, peak -1.14
PASS glassPearls/: 559 contacts, 6.11m route, peak -0.96
PASS glassPearls/bubbleStone: 564 contacts, 6.09m route, peak -0.96
PASS glassPearls/driftwoodArch: 589 contacts, 6.42m route, peak -0.96
PASS glassPearls/moonLantern: 582 contacts, 6.35m route, peak -0.96
PASS glassPearls/kelp: 559 contacts, 6.11m route, peak -0.96
PASS glassPearls/pearlShell: 615 contacts, 6.71m route, peak -0.96
PASS glassPearls/seaFan: 592 contacts, 6.42m route, peak -0.96
PASS glassPearls/bubbleStone+bubbleStone: 487 contacts, 5.34m route, peak -1.14
PASS glassPearls/bubbleStone+driftwoodArch: 582 contacts, 6.38m route, peak -1.14
PASS glassPearls/bubbleStone+moonLantern: 491 contacts, 5.34m route, peak -1.14
PASS glassPearls/bubbleStone+kelp: 491 contacts, 5.34m route, peak -1.14
PASS glassPearls/bubbleStone+pearlShell: 495 contacts, 5.41m route, peak -1.14
PASS glassPearls/bubbleStone+seaFan: 491 contacts, 5.34m route, peak -1.14
PASS glassPearls/driftwoodArch+driftwoodArch: 746 contacts, 8.12m route, peak -1.14
PASS glassPearls/driftwoodArch+moonLantern: 582 contacts, 6.38m route, peak -1.14
PASS glassPearls/driftwoodArch+kelp: 512 contacts, 5.61m route, peak -1.14
PASS glassPearls/driftwoodArch+pearlShell: 582 contacts, 6.38m route, peak -1.14
PASS glassPearls/driftwoodArch+seaFan: 512 contacts, 5.61m route, peak -1.14
PASS glassPearls/moonLantern+moonLantern: 506 contacts, 5.58m route, peak -1.14
PASS glassPearls/moonLantern+kelp: 506 contacts, 5.58m route, peak -1.14
PASS glassPearls/moonLantern+pearlShell: 567 contacts, 6.19m route, peak -1.14
PASS glassPearls/moonLantern+seaFan: 506 contacts, 5.58m route, peak -1.14
PASS glassPearls/kelp+kelp: 517 contacts, 5.63m route, peak -1.14
PASS glassPearls/kelp+pearlShell: 567 contacts, 6.19m route, peak -1.14
PASS glassPearls/kelp+seaFan: 539 contacts, 5.86m route, peak -1.14
PASS glassPearls/pearlShell+pearlShell: 525 contacts, 5.75m route, peak -1.14
PASS glassPearls/pearlShell+seaFan: 567 contacts, 6.19m route, peak -1.14
PASS glassPearls/seaFan+seaFan: 539 contacts, 5.86m route, peak -1.14
PASS: all habitat combinations, rock climbing, arch passage, shrimp/submarine clearance, visible snail attachment, independent rests, eased starts/stops, orientation, reduced motion and 30/60 fps. 44.031665086746216s
